Year,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,NRtg,Pace,TS%,eFG%,OeFG%,Playoffs
2013,Toronto Raptors*,82,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7,4.2,14.1,23,101.3,108.8,105.3,3.5,91.8,0.545,0.498,0.493,Y
2013,Utah Jazz,82,241.2,36,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22,0.747,11,30.2,41.2,20.3,7,4.5,14.6,20.7,95,103.5,111.3,-7.8,91.4,0.523,0.484,0.518,N
2013,Washington Wizards*,82,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,106,104.6,1.4,93.2,0.538,0.506,0.504,Y
2014,Atlanta Hawks*,82,240.6,38.1,81.7,0.466,10,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,108.9,103.1,5.8,93.9,0.563,0.527,0.492,Y
2014,Boston Celtics*,82,242.4,38.9,87.9,0.443,8,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,104.7,104.5,0.2,95.8,0.523,0.489,0.494,Y
2014,Brooklyn Nets*,82,243,37.4,83,0.451,6.6,19.9,0.331,30.8,63.1,0.489,16.6,22.2,0.748,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98,104.4,107.4,-3,92.7,0.529,0.491,0.506,Y
2014,Charlotte Hornets,82,242.7,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17,22.8,0.748,10,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,100.1,103.5,-3.4,93,0.498,0.456,0.487,N
2014,Chicago Bulls*,82,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8,107.5,104.3,3.2,92.8,0.536,0.489,0.473,Y
2014,Cleveland Cavaliers*,82,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1,111.1,106.3,4.8,92.3,0.557,0.52,0.502,Y
2014,Dallas Mavericks*,82,242.4,39.7,85.8,0.463,8.9,25.4,0.352,30.8,60.4,0.509,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2,109.5,106.4,3.1,95.2,0.55,0.515,0.503,Y
